c++ logs
PS D:\Embdedd Linux\computer Vision\Drowsiness Detection> .\build\bin\Release\DrowsinessDetector.exe
MessagePublisher: Initialized successfully on tcp://*:5555
Logger: ZeroMQ publishing enabled on tcp://*:5555
Logger initialized successfully
Drowsiness Detection System Started
MessagePublisher: Initialized successfully on tcp://*:5555
Logger: ZeroMQ publishing enabled on tcp://*:5555
Logger initialized successfully
Drowsiness Detection System Started
Press ESC to exit
Total Processed Frames: 823
MessagePublisher: Shutdown complete. Stats - Sent: 293, Failed: 0
Logger shutdown complete
System shutdown complete
Number Of Memory Allocations: 582401
Total allocated size: 22550981470 bytes
Number Of Memory Deallocations: 445729
Total freed size: 22465692653 bytes
Net memory allocated (should be 0): 85288817 bytes
Memory efficiency: 99.6218%
Average allocation size: 38720.7 bytes
Allocations per frame: 707.656


Pyhton subcriber logs


2025-09-12 16:55:56,663 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m00s_929.jpg
2025-09-12 16:55:58,254 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m01s_349.jpg
2025-09-12 16:56:00,016 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m01s_796.jpg
2025-09-12 16:56:02,469 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m02s_289.jpg
2025-09-12 16:56:04,213 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m02s_774.jpg
2025-09-12 16:56:06,228 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m03s_244.jpg
2025-09-12 16:56:08,148 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m03s_701.jpg
2025-09-12 16:56:09,737 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m04s_165.jpg
2025-09-12 16:56:11,333 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m04s_644.jpg
2025-09-12 16:56:12,891 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m05s_107.jpg
2025-09-12 16:56:14,428 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m38s_273.jpg
2025-09-12 16:56:15,962 - DrowsinessCloudService - INFO - Successfully uploaded image: snapshots/2025/09/12/drowsy_detected_Sep12_2025_16h54m41s_902.jpg
