2025-08-07 03:22:47 | State: DROWSY | EAR: 0.0641658 | MAR: 0.347836 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:48 | State: DROWSY | EAR: 0.0781855 | MAR: 0.356886 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:48 | State: DROWSY | EAR: 0.0667248 | MAR: 0.378589 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:48 | State: DROWSY | EAR: 0.0710469 | MAR: 0.357044 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:48 | State: DROWSY | EAR: 0.0692728 | MAR: 0.371712 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:48 | State: DROWSY | EAR: 0.0780365 | MAR: 0.353588 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:49 | State: DROWSY | EAR: 0.0668226 | MAR: 0.36367 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:49 | State: DROWSY | EAR: 0.091337 | MAR: 0.376814 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:49 | State: DROWSY | EAR: 0.0928414 | MAR: 0.361071 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:49 | State: DROWSY | EAR: 0.0799634 | MAR: 0.361323 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:49 | State: DROWSY | EAR: 0.0752803 | MAR: 0.353026 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:50 | State: DROWSY | EAR: 0.0744644 | MAR: 0.356836 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:50 | State: DROWSY | EAR: 0.0824804 | MAR: 0.3492 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:50 | State: DROWSY | EAR: 0.077917 | MAR: 0.35081 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:50 | State: DROWSY | EAR: 0.0861179 | MAR: 0.360007 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:50 | State: DROWSY | EAR: 0.0717255 | MAR: 0.348611 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:51 | State: DROWSY | EAR: 0.0718794 | MAR: 0.35686 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:51 | State: DROWSY | EAR: 0.103588 | MAR: 0.368901 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:51 | State: DROWSY | EAR: 0.091764 | MAR: 0.363542 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:51 | State: DROWSY | EAR: 0.101322 | MAR: 0.363672 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:52 | State: DROWSY | EAR: 0.0873817 | MAR: 0.360652 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
2025-08-07 03:22:52 | State: DROWSY | EAR: 0.0830815 | MAR: 0.35466 | Message: Driver showing signs of drowsiness | Image: snapshots/drowsy_detected_Aug07_2025_%02Hh%02Mm%02Ss.jpg
